id,original_name,normalized_name
11137d6d-15f8-47a8-ab9c-4d00c11dda16,Ngl Energy Partners Lp,ngl energy partners lp
add0a895-68ba-4a4b-b9e5-1693ab49e80d,Compass Diversified Holdings,compass diversified holdings
49c3b10c-e80d-4ef6-8753-f9fe34f190e6,Compass Diversified Holdings,compass diversified holdings
f867c3f8-71cf-4f2d-ac6e-54c39e204673,Brazilian Rare Earths Limited/Adr,brazilian rare earths limitedadr
4e852af9-adfc-4754-b85c-c65ad235391e,Brazilian Rare Earths Limited/Adr,brazilian rare earths limitedadr
fc5de26a-a315-43bf-9733-3a1e0cb194f3,Gladstone Land Corp,gladstone land corp
55b59d08-5481-4a72-9932-419945a582d9,Gladstone Land Corp,gladstone land corp
7f654716-d018-4ee0-a193-854baf73fba4,Gladstone Land Corp,gladstone land corp
5a14e177-0040-4e42-83ad-0e20b4cc6e13,Movado Group Inc,movado group inc
b22e99d9-43a9-4107-a080-54d12758b8c1,Movado Group Inc,movado group inc
57368cbd-8e05-4da7-bfbd-180bf3557ff9,Virtus Convertible & Income Fund,virtus convertible income fund
3a82e947-4ef4-41b2-8a3f-4d60233a063d,Virtus Convertible & Income Fund,virtus convertible income fund
ed7697e6-0343-4415-bd75-dce0310d2683,Mobico Group Plc/Adr,mobico group plcadr
0ef11f21-332f-42df-a97a-87774b2c9a4b,Mobico Group Plc/Adr,mobico group plcadr
2dcb8d8a-9aa9-4753-a3d6-8a1f2d55bab7,Medallion Financial Corp,medallion financial corp
60192962-ddc4-4d58-8160-7614a77d9f3e,Medallion Financial Corp,medallion financial corp
d66acac9-6ebe-420b-be9a-c9ccc0b9a26e,"Mainstreet Bancshares, Inc.",mainstreet bancshares inc
6804d940-30d4-4b2b-b71c-1f160fc5c29b,"Mainstreet Bancshares, Inc.",mainstreet bancshares inc
eac6bdf2-20eb-4aa6-8943-52a874e6b3ef,Dynagas Lng Partners Lp,dynagas lng partners lp
88920e9e-0d99-4a75-99ed-f6f9943cd9a0,Dynagas Lng Partners Lp,dynagas lng partners lp
78efff7e-f401-4d53-8471-bc3326cf019b,Fuelcell Energy Inc,fuelcell energy inc
61b5e8d6-744c-4bc6-b256-154f5eba74a4,Fuelcell Energy Inc,fuelcell energy inc
46561e13-0cc2-4b4a-b728-4e25f7884c80,"Lument Finance Trust, Inc.",lument finance trust inc
87fe6d7b-5afa-48da-a0aa-e8661cab49de,"Lument Finance Trust, Inc.",lument finance trust inc
21d41a0a-7647-4f6d-8dd5-2218d6e3091f,Gabelli Global Utility & Income Trust,gabelli global utility income trust
542f996d-e9a9-45c7-9e0e-4626c3327158,Gabelli Global Utility & Income Trust,gabelli global utility income trust
6e5e9024-7b4c-48a2-b3ac-eac752b9bcea,Gabelli Global Utility & Income Trust,gabelli global utility income trust
289eb58d-dcfd-437b-a631-ca9c904d5409,Wisekey International Holding S.A.,wisekey international holding sa
8ff73837-bd6a-447a-ad61-4c3db3bce7d6,Wisekey International Holding S.A.,wisekey international holding sa
5897ef39-e9d8-4e69-8a54-37cadfb71bc0,"Great Elm Group, Inc.",great elm group inc
48ec41ce-ce9e-4d83-a0bf-8c4cf7f89d6d,"Great Elm Group, Inc.",great elm group inc
8e5601cb-50c7-4bf4-8864-6d253c366f4f,Sachem Capital Corp.,sachem capital corp
ac15a206-ea82-403a-90d8-9ccb07e5cbe7,Sachem Capital Corp.,sachem capital corp
402ec12c-e615-4653-8f62-f65fc6cfa01f,Pyxis Tankers Inc.,pyxis tankers inc
db9d2061-9159-4aa4-b305-15f240a5d697,Pyxis Tankers Inc.,pyxis tankers inc
84cbf910-517b-422c-bc88-87a58f92f584,Dowway Holdings Limited/Adr,dowway holdings limitedadr
395c0f03-af58-40d6-9761-7da3710058d3,Dowway Holdings Limited/Adr,dowway holdings limitedadr
